Iteration,Error
0,1.00357
1,0.00294055
2,0.00146145
3,5.47537e-05
4,5.24356e-05
5,5.13131e-05
6,5.05656e-05
7,5.00202e-05
8,4.96348e-05
9,4.93615e-05
10,4.9169e-05
11,4.90466e-05
12,4.89684e-05
13,4.89138e-05
14,4.88981e-05
15,4.89319e-05
16,4.90015e-05
17,4.90941e-05
18,4.92075e-05
19,4.93451e-05
20,4.95092e-05
21,4.96956e-05
22,4.99016e-05
23,5.01265e-05
24,5.03702e-05
25,5.06339e-05
26,5.09199e-05
27,5.12271e-05
28,5.15489e-05
29,5.18814e-05
30,5.22214e-05
31,5.25703e-05
32,5.29259e-05
33,5.3285e-05
34,5.36469e-05
35,5.4012e-05
36,5.43807e-05
37,5.47526e-05
38,5.51246e-05
39,5.54933e-05
40,5.58564e-05
41,5.62127e-05
42,5.65626e-05
43,5.69069e-05
44,5.7246e-05
45,5.75804e-05
46,5.79102e-05
47,5.8235e-05
48,5.85563e-05
49,5.88739e-05
50,5.91886e-05
51,5.94986e-05
52,5.98033e-05
53,6.00998e-05
54,6.03865e-05
55,6.06611e-05
56,6.09235e-05
57,6.11736e-05
58,6.14137e-05
59,6.16439e-05
60,6.18672e-05
61,6.20817e-05
62,6.22886e-05
63,6.24867e-05
64,6.26765e-05
65,6.28561e-05
66,6.30261e-05
67,6.31846e-05
68,6.33316e-05
69,6.34659e-05
70,6.35882e-05
71,6.36986e-05
72,6.37982e-05
73,6.38877e-05
74,6.3968e-05
75,6.404e-05
76,6.41036e-05
77,6.41585e-05
78,6.42048e-05
79,6.42423e-05
80,6.42708e-05
81,6.42909e-05
82,6.43025e-05
83,6.43069e-05
84,6.43049e-05
85,6.42974e-05
86,6.42852e-05
87,6.42683e-05
88,6.42452e-05
89,6.42145e-05
90,6.4175e-05
91,6.41266e-05
92,6.40711e-05
93,6.40118e-05
94,6.39528e-05
95,6.38986e-05
96,6.38522e-05
97,6.38134e-05
98,6.37829e-05
99,6.37574e-05
100,6.37324e-05
101,6.37025e-05
102,6.36634e-05
103,6.3612e-05
104,6.35465e-05
105,6.34678e-05
106,6.33778e-05
107,6.32793e-05
108,6.3175e-05
109,6.30678e-05
110,6.29598e-05
111,6.28535e-05
112,6.2751e-05
113,6.26539e-05
114,6.25641e-05
115,6.24822e-05
116,6.2408e-05
117,6.23399e-05
118,6.22761e-05
119,6.22138e-05
120,6.21504e-05
121,6.20833e-05
122,6.20106e-05
123,6.19307e-05
124,6.18428e-05
125,6.17461e-05
126,6.16409e-05
127,6.15306e-05
128,6.14179e-05
129,6.13061e-05
130,6.11983e-05
131,6.10972e-05
132,6.10049e-05
133,6.09218e-05
134,6.08474e-05
135,6.07806e-05
136,6.07201e-05
137,6.06642e-05
138,6.0611e-05
139,6.05589e-05
140,6.05059e-05
141,6.04505e-05
142,6.03914e-05
143,6.03288e-05
144,6.02635e-05
145,6.01975e-05
146,6.01328e-05
147,6.0072e-05
148,6.00167e-05
149,5.99674e-05
150,5.99237e-05
