"Velocity:0","Velocity:1","Pressure","Points:0","Points:1","Points:2"
0.79905,-0.85093,-0.40043,0.36448,0.34227,0
1.0486,-0.86751,-0.63775,0.31871,0.38526,0
0.56099,-0.77219,-0.16916,0.40451,0.29389,0
1.2903,-0.81883,-0.87652,0.26791,0.42216,0
0.35294,-0.64204,0.029276,0.43815,0.24088,0
1.5082,-0.70973,-1.0648,0.21289,0.45241,0
1.6887,-0.54869,-1.2225,0.15451,0.47553,0
0.18753,-0.47374,0.17463,0.46489,0.18406,0
1.8246,-0.34807,-1.3486,0.093691,0.49114,0
0.077319,-0.3012,0.26575,0.48429,0.12434,0
1.8932,-0.11911,-1.4207,0.031395,0.49901,0
0.016341,-0.12958,0.3112,0.49606,0.062667,0
1.8991,0.11947,-1.4038,-0.031395,0.49901,0
1.7421,0.56605,-1.2464,-0.15451,0.47553,0
1.8492,0.35276,-1.3698,-0.093691,0.49114,0
0.01933,0.15313,0.30898,0.49606,-0.062667,0
-1.3756e-05,0.038923,0.32659,0.5,0,0
1.5795,0.74329,-1.0693,-0.21289,0.45241,0
0.076951,0.2998,0.26621,0.48429,-0.12434,0
1.377,0.87385,-0.85924,-0.26791,0.42216,0
1.1468,0.94871,-0.6216,-0.31871,0.38526,0
0.90639,0.96523,-0.37849,-0.36448,0.34227,0
0.66638,0.91725,-0.1441,-0.40451,0.29389,0
0.44878,0.81636,0.067565,-0.43815,0.24088,0
0.18381,0.46431,0.17609,0.46489,-0.18406,0
0.25939,0.65524,0.24422,-0.46489,0.18406,0
0.34907,0.63502,0.030008,0.43815,-0.24088,0
0.56079,0.7719,-0.16867,0.40451,-0.29389,0
0.11578,0.451,0.38863,-0.48429,0.12434,0
0.80043,0.85242,-0.39786,0.36448,-0.34227,0
0.027433,0.21748,0.47753,-0.49606,0.062667,0
1.0484,0.86736,-0.6357,0.31871,-0.38526,0
1.2901,0.81876,-0.86272,0.26791,-0.42216,0
-2.2663e-05,-0.036615,0.48775,-0.5,-1.2741e-15,0
0.027018,-0.21404,0.46265,-0.49606,-0.062667,0
1.505,0.70819,-1.0657,0.21289,-0.45241,0
0.11403,-0.44427,0.38057,-0.48429,-0.12434,0
0.25664,-0.64827,0.2422,-0.46489,-0.18406,0
0.44517,-0.80983,0.06706,-0.43815,-0.24088,0
0.66732,-0.91851,-0.14594,-0.40451,-0.29389,0
0.90497,-0.96373,-0.37853,-0.36448,-0.34227,0
1.1454,-0.94754,-0.61655,-0.31871,-0.38526,0
1.3734,-0.87161,-0.85098,-0.26791,-0.42216,0
1.5775,-0.74234,-1.0616,-0.21289,-0.45241,0
1.736,-0.56408,-1.2479,-0.15451,-0.47553,0
1.6872,0.54821,-1.224,0.15451,-0.47553,0
1.8481,-0.35254,-1.3626,-0.093691,-0.49114,0
1.816,0.34642,-1.3347,0.093691,-0.49114,0
1.8987,-0.11946,-1.4455,-0.031395,-0.49901,0
1.8877,0.11878,-1.4332,0.031395,-0.49901,0
