"Velocity:0","Velocity:1","Pressure","Points:0","Points:1","Points:2"
0.26416,-0.56136,0.1154,0.45241,0.21289,0
0.3538,-0.64357,0.036293,0.43815,0.24088,0
0.1886,-0.47636,0.18009,0.46489,0.18406,0
0.45417,-0.71567,-0.054412,0.42216,0.26791,0
0.12647,-0.38925,0.22743,0.47553,0.15451,0
0.5631,-0.77505,-0.15793,0.40451,0.29389,0
0.080434,-0.31328,0.26303,0.48429,0.12434,0
0.68045,-0.82253,-0.26928,0.38526,0.31871,0
0.046522,-0.24388,0.28448,0.49114,0.093691,0
0.80202,-0.85407,-0.38762,0.36448,0.34227,0
0.023398,-0.18522,0.29887,0.49606,0.062667,0
0.92665,-0.87018,-0.50842,0.34227,0.36448,0
0.007332,-0.11655,0.31103,0.49901,0.031395,0
1.0522,-0.87049,-0.63185,0.31871,0.38526,0
-3.6273e-06,0.028121,0.31475,0.5,0,0
1.1754,-0.85398,-0.74918,0.29389,0.40451,0
0.0089524,0.14229,0.308,0.49901,-0.031395,0
1.2957,-0.82227,-0.86432,0.26791,0.42216,0
0.025028,0.19813,0.29716,0.49606,-0.062667,0
1.4098,-0.77503,-0.9762,0.24088,0.43815,0
0.048847,0.25607,0.28358,0.49114,-0.093691,0
1.5158,-0.7133,-1.0759,0.21289,0.45241,0
0.082373,0.32083,0.26109,0.48429,-0.12434,0
1.6126,-0.63846,-1.1683,0.18406,0.46489,0
0.12882,0.39645,0.22731,0.47553,-0.15451,0
1.698,-0.55171,-1.249,0.15451,0.47553,0
0.18988,0.47959,0.17864,0.46489,-0.18406,0
1.771,-0.45471,-1.3153,0.12434,0.48429,0
0.26603,0.56534,0.11409,0.45241,-0.21289,0
1.8306,-0.3492,-1.3698,0.093691,0.49114,0
0.35546,0.64659,0.0358,0.43815,-0.24088,0
1.8746,-0.23681,-1.4108,0.062667,0.49606,0
0.45582,0.71826,-0.056033,0.42216,-0.26791,0
1.9048,-0.11984,-1.4356,0.031395,0.49901,0
0.56483,0.77743,-0.15922,0.40451,-0.29389,0
1.9178,6.2851e-07,-1.4461,-2.327e-16,0.5,0
0.68205,0.82446,-0.2692,0.38526,-0.31871,0
1.9148,0.12047,-1.445,-0.031395,0.49901,0
0.80333,0.85546,-0.38796,0.36448,-0.34227,0
1.8959,0.23951,-1.4153,-0.062667,0.49606,0
0.9279,0.87136,-0.509,0.34227,-0.36448,0
1.8617,0.35514,-1.3806,-0.093691,0.49114,0
1.0533,0.87137,-0.62979,0.31871,-0.38526,0
1.8128,0.46544,-1.3243,-0.12434,0.48429,0
1.1766,0.85483,-0.7487,0.29389,-0.40451,0
