Iteration,Error
0,0.99945
1,0.00655644
2,0.00323071
3,6.0494e-05
4,3.83118e-05
5,3.59345e-05
6,3.55023e-05
7,3.52139e-05
8,3.50079e-05
9,3.48623e-05
10,3.47684e-05
11,3.47169e-05
12,3.46974e-05
13,3.47019e-05
14,3.4733e-05
15,3.47928e-05
16,3.48732e-05
17,3.49681e-05
18,3.50778e-05
19,3.52043e-05
20,3.53467e-05
21,3.55022e-05
22,3.56686e-05
23,3.58439e-05
24,3.60253e-05
25,3.62128e-05
26,3.64104e-05
27,3.66215e-05
28,3.68432e-05
29,3.70697e-05
30,3.72978e-05
31,3.75272e-05
32,3.77607e-05
33,3.79992e-05
34,3.82424e-05
35,3.84897e-05
36,3.87406e-05
37,3.89943e-05
38,3.92491e-05
39,3.95027e-05
40,3.97533e-05
41,4.00015e-05
42,4.02484e-05
43,4.04948e-05
44,4.07404e-05
45,4.09843e-05
46,4.12248e-05
47,4.14612e-05
48,4.16922e-05
49,4.19171e-05
50,4.21346e-05
51,4.23448e-05
52,4.25474e-05
53,4.27424e-05
54,4.29298e-05
55,4.31093e-05
56,4.32809e-05
57,4.34455e-05
58,4.36036e-05
59,4.37558e-05
60,4.3902e-05
61,4.40421e-05
62,4.41761e-05
63,4.43037e-05
64,4.44253e-05
65,4.45408e-05
66,4.46505e-05
67,4.47546e-05
68,4.48532e-05
69,4.49465e-05
70,4.50341e-05
71,4.51156e-05
72,4.51907e-05
73,4.5258e-05
74,4.53173e-05
75,4.53684e-05
76,4.54118e-05
77,4.54469e-05
78,4.54741e-05
79,4.54935e-05
80,4.5505e-05
81,4.55086e-05
82,4.55039e-05
83,4.54908e-05
84,4.54694e-05
85,4.54402e-05
86,4.54044e-05
87,4.53636e-05
88,4.53198e-05
89,4.52753e-05
90,4.52316e-05
91,4.519e-05
92,4.51504e-05
93,4.51121e-05
94,4.50732e-05
95,4.50322e-05
96,4.49873e-05
97,4.49377e-05
98,4.48834e-05
99,4.48254e-05
100,4.47646e-05
101,4.47024e-05
102,4.464e-05
103,4.45781e-05
104,4.4517e-05
105,4.44563e-05
106,4.43953e-05
107,4.4333e-05
108,4.42687e-05
109,4.42024e-05
110,4.41344e-05
111,4.40654e-05
112,4.39955e-05
113,4.3925e-05
114,4.3854e-05
115,4.3783e-05
116,4.37116e-05
117,4.36407e-05
118,4.35705e-05
119,4.35015e-05
120,4.3434e-05
121,4.33683e-05
122,4.33045e-05
123,4.32426e-05
124,4.31818e-05
125,4.3121e-05
126,4.30594e-05
127,4.29954e-05
128,4.29285e-05
129,4.28588e-05
130,4.27869e-05
131,4.2714e-05
132,4.26418e-05
133,4.25719e-05
134,4.25055e-05
135,4.24435e-05
136,4.23862e-05
137,4.23333e-05
138,4.2284e-05
139,4.22379e-05
140,4.21944e-05
141,4.21538e-05
142,4.21162e-05
143,4.20819e-05
144,4.20509e-05
145,4.20224e-05
146,4.19951e-05
147,4.19673e-05
148,4.19373e-05
149,4.19036e-05
150,4.18653e-05
