"Velocity:0","Velocity:1","Pressure","Points:0","Points:1","Points:2"
0.90999,-0.96906,-0.37585,-0.36448,-0.34227,0
1.1481,-0.94985,-0.62051,-0.31871,-0.38526,0
0.67379,-0.92745,-0.15248,-0.40451,-0.29389,0
1.3764,-0.87348,-0.85227,-0.26791,-0.42216,0
0.45941,-0.83569,0.064711,-0.43815,-0.24088,0
1.5742,-0.74081,-1.067,-0.21289,-0.45241,0
0.26489,-0.66916,0.24141,-0.46489,-0.18406,0
1.7353,-0.56384,-1.2402,-0.15451,-0.47553,0
1.8446,-0.35188,-1.3611,-0.093691,-0.49114,0
0.11087,-0.4319,0.37253,-0.48429,-0.12434,0
1.898,-0.1194,-1.4354,-0.031395,-0.49901,0
0.026116,-0.20701,0.47869,-0.49606,-0.062667,0
1.8833,0.11849,-1.4254,0.031395,-0.49901,0
-2.3333e-05,0.028405,0.47383,-0.5,-1.2741e-15,0
1.8143,0.34611,-1.3237,0.093691,-0.49114,0
0.026222,0.20774,0.47378,-0.49606,0.062667,0
1.6821,0.54657,-1.2216,0.15451,-0.47553,0
1.5029,0.70725,-1.0593,0.21289,-0.45241,0
0.1127,0.43911,0.37795,-0.48429,0.12434,0
1.2827,0.81402,-0.85221,0.26791,-0.42216,0
0.25747,0.65035,0.24374,-0.46489,0.18406,0
1.0391,0.85964,-0.62357,0.31871,-0.38526,0
0.44938,0.81749,0.067967,-0.43815,0.24088,0
0.78887,0.84009,-0.39212,0.36448,-0.34227,0
0.554,0.76257,-0.15641,0.40451,-0.29389,0
0.67007,0.9223,-0.14709,-0.40451,0.29389,0
0.34419,0.62614,0.038038,0.43815,-0.24088,0
0.90506,0.96384,-0.38089,-0.36448,0.34227,0
0.18288,0.46199,0.1825,0.46489,-0.18406,0
1.1467,0.94868,-0.61659,-0.31871,0.38526,0
0.079801,0.31086,0.27139,0.48429,-0.12434,0
0.018746,0.14861,0.30851,0.49606,-0.062667,0
1.3763,0.87345,-0.85506,-0.26791,0.42216,0
-1.3411e-05,-0.016363,0.32525,0.5,0,0
1.5757,0.74146,-1.0712,-0.21289,0.45241,0
0.017661,-0.13994,0.30948,0.49606,0.062667,0
0.078333,-0.30519,0.2676,0.48429,0.12434,0
1.732,0.56276,-1.247,-0.15451,0.47553,0
0.18854,-0.47627,0.17362,0.46489,0.18406,0
0.35299,-0.64215,0.031538,0.43815,0.24088,0
0.55909,-0.76956,-0.16432,0.40451,0.29389,0
0.79685,-0.84861,-0.39837,0.36448,0.34227,0
1.0439,-0.8636,-0.63726,0.31871,0.38526,0
1.2886,-0.8178,-0.86161,0.26791,0.42216,0
1.5056,-0.70847,-1.0698,0.21289,0.45241,0
1.8449,0.35194,-1.3593,-0.093691,0.49114,0
1.8997,0.11953,-1.4401,-0.031395,0.49901,0
1.6877,-0.54839,-1.2263,0.15451,0.47553,0
1.8837,-0.11853,-1.4151,0.031395,0.49901,0
1.812,-0.34565,-1.3371,0.093691,0.49114,0
