Iteration,Error
0,1.00358
1,0.00294018
2,0.00146104
3,4.4518e-05
4,4.30755e-05
5,4.26363e-05
6,4.24433e-05
7,4.22734e-05
8,4.21898e-05
9,4.21208e-05
10,4.20989e-05
11,4.21011e-05
12,4.21395e-05
13,4.21954e-05
14,4.22772e-05
15,4.23908e-05
16,4.25252e-05
17,4.26905e-05
18,4.28651e-05
19,4.30638e-05
20,4.32672e-05
21,4.34981e-05
22,4.37342e-05
23,4.39898e-05
24,4.42457e-05
25,4.4523e-05
26,4.48058e-05
27,4.51036e-05
28,4.54138e-05
29,4.57291e-05
30,4.60565e-05
31,4.63879e-05
32,4.6728e-05
33,4.70711e-05
34,4.74199e-05
35,4.77691e-05
36,4.81223e-05
37,4.84739e-05
38,4.88287e-05
39,4.91838e-05
40,4.95383e-05
41,4.98898e-05
42,5.0239e-05
43,5.05851e-05
44,5.0928e-05
45,5.12672e-05
46,5.16e-05
47,5.19284e-05
48,5.225e-05
49,5.25673e-05
50,5.28766e-05
51,5.31799e-05
52,5.3474e-05
53,5.37618e-05
54,5.40405e-05
55,5.43113e-05
56,5.45732e-05
57,5.48267e-05
58,5.5071e-05
59,5.53061e-05
60,5.55308e-05
61,5.57451e-05
62,5.59494e-05
63,5.61438e-05
64,5.6328e-05
65,5.65021e-05
66,5.66656e-05
67,5.68184e-05
68,5.69607e-05
69,5.70929e-05
70,5.72152e-05
71,5.73271e-05
72,5.74285e-05
73,5.75194e-05
74,5.75999e-05
75,5.76706e-05
76,5.77317e-05
77,5.77829e-05
78,5.78244e-05
79,5.78562e-05
80,5.78787e-05
81,5.78921e-05
82,5.78967e-05
83,5.78931e-05
84,5.78813e-05
85,5.78619e-05
86,5.78351e-05
87,5.78013e-05
88,5.77607e-05
89,5.77135e-05
90,5.76598e-05
91,5.75997e-05
92,5.75336e-05
93,5.74616e-05
94,5.73841e-05
95,5.73013e-05
96,5.72136e-05
97,5.71215e-05
98,5.70253e-05
99,5.69255e-05
100,5.68224e-05
101,5.67162e-05
102,5.66072e-05
103,5.64955e-05
104,5.63812e-05
105,5.62643e-05
106,5.61448e-05
107,5.60226e-05
108,5.58977e-05
109,5.57703e-05
110,5.56404e-05
111,5.55083e-05
112,5.5374e-05
113,5.52377e-05
114,5.50994e-05
115,5.49595e-05
116,5.48183e-05
117,5.46764e-05
118,5.4534e-05
119,5.43912e-05
120,5.42483e-05
121,5.41052e-05
122,5.39618e-05
123,5.3818e-05
124,5.36737e-05
125,5.35288e-05
126,5.33832e-05
127,5.3237e-05
128,5.30902e-05
129,5.29428e-05
130,5.27948e-05
131,5.26465e-05
132,5.24981e-05
133,5.23497e-05
134,5.22017e-05
135,5.20543e-05
136,5.19078e-05
137,5.17626e-05
138,5.16191e-05
139,5.14774e-05
140,5.13378e-05
141,5.12006e-05
142,5.10659e-05
143,5.09339e-05
144,5.08048e-05
145,5.0679e-05
146,5.05564e-05
147,5.0437e-05
148,5.03207e-05
149,5.02073e-05
150,5.00965e-05
