"Velocity:0","Velocity:1","Pressure","Points:0","Points:1","Points:2"
0.13998,-0.40196,0.22084,0.47219,0.16443,0
0.10117,-0.33508,0.25148,0.47866,0.14452,0
0.069193,-0.26949,0.27599,0.48429,0.12434,0
0.18468,-0.46644,0.18357,0.46489,0.18406,0
0.043595,-0.2051,0.29387,0.48907,0.10396,0
0.29192,-0.58807,0.090643,0.44786,0.22232,0
0.23542,-0.52876,0.14034,0.45677,0.20337,0
0.024686,-0.14595,0.30566,0.493,0.083384,0
0.35368,-0.64334,0.034838,0.43815,0.24088,0
0.012606,-0.099786,0.31316,0.49606,0.062667,0
0.42047,-0.69427,-0.025728,0.42768,0.25901,0
0.0048594,-0.057875,0.31674,0.49825,0.041839,0
0.49146,-0.7397,-0.092123,0.41646,0.2767,0
0.56625,-0.77937,-0.16274,0.40451,0.29389,0
0.0011465,-0.02735,0.31876,0.49956,0.020938,0
0.64414,-0.8127,-0.2361,0.39185,0.31057,0
0.0010602,0.025289,0.31875,0.49956,-0.020938,0
-4.8978e-07,-0.001758,0.31894,0.5,0,0
0.72461,-0.83947,-0.31407,0.3785,0.32671,0
0.0036001,0.042878,0.31633,0.49825,-0.041839,0
0.8069,-0.85926,-0.39296,0.36448,0.34227,0
0.011392,0.090177,0.31332,0.49606,-0.062667,0
0.89051,-0.87205,-0.47339,0.34983,0.35724,0
0.02313,0.13675,0.30514,0.493,-0.083384,0
0.97415,-0.87713,-0.55525,0.33457,0.37157,0
0.042746,0.20111,0.29406,0.48907,-0.10396,0
1.058,-0.87525,-0.63767,0.31871,0.38526,0
0.067902,0.26446,0.27535,0.48429,-0.12434,0
1.1408,-0.86593,-0.71809,0.3023,0.39826,0
0.10056,0.33307,0.25176,0.47866,-0.14452,0
0.1392,0.39971,0.22044,0.47219,-0.16443,0
1.2222,-0.84948,-0.79761,0.28536,0.41057,0
0.18408,0.46492,0.18327,0.46489,-0.18406,0
1.3013,-0.82585,-0.87655,0.26791,0.42216,0
0.23479,0.52734,0.13979,0.45677,-0.20337,0
1.3782,-0.79573,-0.95026,0.25,0.43301,0
0.29136,0.58693,0.090058,0.44786,-0.22232,0
0.35308,0.64226,0.034136,0.43815,-0.24088,0
1.4514,-0.75879,-1.0206,0.23165,0.4431,0
0.41984,0.69323,-0.026642,0.42768,-0.25901,0
1.5214,-0.7159,-1.0889,0.21289,0.45241,0
0.49094,0.73893,-0.092559,0.41646,-0.2767,0
1.5868,-0.66703,-1.152,0.19376,0.46093,0
0.56574,0.77868,-0.16394,0.40451,-0.29389,0
1.6473,-0.61262,-1.2081,0.17429,0.46864,0
0.64385,0.81234,-0.23655,0.39185,-0.31057,0
1.7026,-0.55322,-1.2618,0.15451,0.47553,0
0.72429,0.8391,-0.31455,0.3785,-0.32671,0
1.7527,-0.48936,-1.3092,0.13446,0.48158,0
0.8067,0.85905,-0.3944,0.36448,-0.34227,0
1.7965,-0.42137,-1.3475,0.11418,0.48679,0
0.89021,0.87176,-0.47299,0.34983,-0.35724,0
1.8339,-0.34984,-1.3834,0.093691,0.49114,0
0.97408,0.87707,-0.55606,0.33457,-0.37157,0
1.8651,-0.27541,-1.4116,0.073042,0.49464,0
1.0578,0.87508,-0.63875,0.31871,-0.38526,0
1.8896,-0.1986,-1.4306,0.052264,0.49726,0
1.1408,0.86591,-0.71689,0.3023,-0.39826,0
1.9071,-0.11999,-1.4446,0.031395,0.49901,0
1.222,0.84933,-0.79803,0.28536,-0.41057,0
1.9181,-0.040177,-1.4522,0.010471,0.49989,0
1.3016,0.82605,-0.8764,0.26791,-0.42216,0
1.9215,0.04025,-1.4514,-0.010471,0.49989,0
1.3782,0.79573,-0.9488,0.25,-0.43301,0
1.4515,0.75885,-1.0208,0.23165,-0.4431,0
1.9181,0.12068,-1.4444,-0.031395,0.49901,0
1.5213,0.71587,-1.0892,0.21289,-0.45241,0
1.9074,0.20047,-1.43,-0.052264,0.49726,0
1.5868,0.66705,-1.1511,0.19376,-0.46093,0
1.8901,0.27911,-1.4083,-0.073042,0.49464,0
1.6474,0.61267,-1.2095,0.17429,-0.46864,0
1.7027,0.55326,-1.2619,0.15451,-0.47553,0
1.8659,0.35593,-1.3814,-0.093691,0.49114,0
1.7527,0.48936,-1.3089,0.13446,-0.48158,0
1.8352,0.43045,-1.3466,-0.11418,0.48679,0
1.7966,0.42139,-1.3488,0.11418,-0.48679,0
1.7981,0.50204,-1.3061,-0.13446,0.48158,0
1.8343,0.34991,-1.3841,0.093691,-0.49114,0
1.7552,0.57029,-1.2598,-0.15451,0.47553,0
1.8652,0.27543,-1.411,0.073042,-0.49464,0
1.7062,0.63452,-1.2087,-0.17429,0.46864,0
1.8897,0.19862,-1.4309,0.052264,-0.49726,0
1.6519,0.69439,-1.1502,-0.19376,0.46093,0
1.9073,0.11999,-1.4465,0.031395,-0.49901,0
1.5926,0.74941,-1.0896,-0.21289,0.45241,0
1.5287,0.79919,-1.024,-0.23165,0.4431,0
1.9179,0.040173,-1.4502,0.010471,-0.49989,0
1.461,0.84348,-0.95223,-0.25,0.43301,0
1.922,-0.040261,-1.452,-0.010471,-0.49989,0
1.3897,0.88191,-0.8807,-0.26791,0.42216,0
1.3153,0.91416,-0.80413,-0.28536,0.41057,0
1.9179,-0.12066,-1.4447,-0.031395,-0.49901,0
1.2381,0.9398,-0.72421,-0.3023,0.39826,0
1.9074,-0.20047,-1.4303,-0.052264,-0.49726,0
1.1595,0.95919,-0.64536,-0.31871,0.38526,0
1.8899,-0.27907,-1.4096,-0.073042,-0.49464,0
1.0791,0.9716,-0.56452,-0.33457,0.37157,0
1.8657,-0.35591,-1.3813,-0.093691,-0.49114,0
0.99778,0.97709,-0.48077,-0.34983,0.35724,0
1.8349,-0.43038,-1.3466,-0.11418,-0.48679,0
0.91623,0.97568,-0.40074,-0.36448,0.34227,0
1.7979,-0.50197,-1.3077,-0.13446,-0.48158,0
0.8352,0.96759,-0.31979,-0.3785,0.32671,0
1.7546,-0.5701,-1.2594,-0.15451,-0.47553,0
0.75495,0.95251,-0.23863,-0.39185,0.31057,0
1.7058,-0.63439,-1.2078,-0.17429,-0.46864,0
0.6762,0.93072,-0.16117,-0.40451,0.29389,0
1.6514,-0.69418,-1.1521,-0.19376,-0.46093,0
0.59957,0.90243,-0.085256,-0.41646,0.2767,0
1.5922,-0.74924,-1.0879,-0.21289,-0.45241,0
0.52548,0.86768,-0.01126,-0.42768,0.25901,0
1.5287,-0.79918,-1.0229,-0.23165,-0.4431,0
0.45456,0.82685,0.058664,-0.43815,0.24088,0
1.461,-0.84348,-0.95327,-0.25,-0.43301,0
0.38743,0.78048,0.1249,-0.44786,0.22232,0
1.3894,-0.88174,-0.87796,-0.26791,-0.42216,0
0.32426,0.7283,0.18716,-0.45677,0.20337,0
1.3151,-0.91404,-0.8033,-0.28536,-0.41057,0
0.26572,0.67114,0.24512,-0.46489,0.18406,0
1.238,-0.9397,-0.72547,-0.3023,-0.39826,0
0.21214,0.60917,0.29755,-0.47219,0.16443,0
1.1591,-0.95891,-0.64406,-0.31871,-0.38526,0
0.16388,0.5428,0.34477,-0.47866,0.14452,0
1.0787,-0.97129,-0.56391,-0.33457,-0.37157,0
0.12132,0.47251,0.38653,-0.48429,0.12434,0
0.9976,-0.97692,-0.48263,-0.34983,-0.35724,0
0.084508,0.39758,0.42175,-0.48907,0.10396,0
0.91604,-0.97548,-0.40036,-0.36448,-0.34227,0
0.054473,0.32207,0.45159,-0.493,0.083384,0
0.83481,-0.96714,-0.31879,-0.3785,-0.32671,0
0.030577,0.24204,0.47408,-0.49606,0.062667,0
0.75473,-0.95223,-0.24023,-0.39185,-0.31057,0
0.01358,0.16173,0.49097,-0.49825,0.041839,0
0.67604,-0.93049,-0.161,-0.40451,-0.29389,0
0.003247,0.077475,0.50076,-0.49956,0.020938,0
-5.1173e-07,0.0022792,0.5039,-0.5,-4.9179e-15,0
0.59925,-0.90195,-0.084407,-0.41646,-0.2767,0
0.0034003,-0.081135,0.50114,-0.49956,-0.020938,0
0.52537,-0.86749,-0.012027,-0.42768,-0.25901,0
0.013674,-0.16284,0.49096,-0.49825,-0.041839,0
0.45453,-0.8268,0.058394,-0.43815,-0.24088,0
0.030701,-0.24303,0.47422,-0.49606,-0.062667,0
0.38741,-0.78043,0.12559,-0.44786,-0.22232,0
0.054458,-0.32198,0.45125,-0.493,-0.083384,0
0.32418,-0.72811,0.18676,-0.45677,-0.20337,0
0.084549,-0.39777,0.42186,-0.48907,-0.10396,0
0.26577,-0.67125,0.24483,-0.46489,-0.18406,0
0.12129,-0.47238,0.38619,-0.48429,-0.12434,0
0.21204,-0.60889,0.29771,-0.47219,-0.16443,0
0.16385,-0.54269,0.34462,-0.47866,-0.14452,0
